post_code,casos_positivos,total_casos
18810,0,1
18812,1,9
18817,12,29
18830,0,3
19004,0,1
19141,0,1
19170,1,17
19171,0,2
19174,0,1
19180,1,27
19185,0,1
19187,0,2
19188,2,19
19200,0,3
19208,0,1
19326,1,10
20001,1,1
20002,16,25
20010,2,10
20012,0,1
20015,1,1
20017,3,5
20120,1,2
20304,0,1
20305,9,51
20810,0,2
21001,3,26
21002,5,55
21003,2,16
21004,4,117
21005,2,35
21006,2,66
21007,4,43
21100,0,3
21110,4,36
21120,1,2
21200,0,1
21400,0,2
21440,0,4
21449,3,42
21450,3,41
21510,9,127
21520,0,1
21600,9,20
21710,22,167
21730,0,4
21760,1,1
21830,0,1
21880,38,63
22005,8,41
22006,1,16
22300,1,3
22400,0,8
22600,2,7
22660,0,5
23001,10,66
23002,7,114
23003,0,1
23004,0,1
23007,0,1
23008,4,84
23009,3,8
23100,0,2
23170,0,1
23196,0,1
23200,8,40
23211,1,1
23240,21,56
23320,29,130
23400,1,5
23440,0,1
23470,0,1
23650,1,21
23680,18,109
23686,1,1
23687,0,3
23689,0,1
23690,2,2
23691,1,1
23692,2,4
23700,18,83
23740,3,9
24001,1,7
24002,6,22
24003,0,2
24005,7,47
24007,7,60
24195,15,49
24196,1,16
24210,0,1
24300,1,14
24320,3,22
24400,0,1
24750,0,1
25001,0,6
25002,1,1
25003,0,3
25005,1,4
25100,0,1
25200,2,6
25230,7,35
25400,3,24
26003,1,1
26005,2,9
26200,1,1
26250,0,4
26300,4,43
26360,7,115
26540,2,31
26580,0,8
27002,0,5
27518,0,3
27600,2,10
27619,0,2
27780,2,15
28002,7,74
28003,2,109
28004,2,2
28005,20,228
28007,0,3
28009,7,98
28010,3,39
28011,0,16
28015,7,111
28016,2,7
28018,3,26
28019,3,32
28020,4,9
28021,3,18
28022,1,81
28023,2,9
28024,2,28
28025,0,1
28026,0,1
28027,16,54
28028,21,218
28029,25,111
28030,0,1
28031,8,42
28032,4,104
28033,1,19
28034,9,64
28035,12,255
28036,4,83
28037,0,21
28038,0,4
28039,5,14
28041,0,17
28042,16,20
28043,38,657
28045,2,44
28046,0,1
28050,2,2
28052,0,3
28053,3,9
28054,1,28
28055,2,5
28100,32,207
28108,1,2
28109,1,2
28110,2,23
28119,1,2
28130,0,10
28150,0,2
28160,10,54
28180,5,14
28189,0,1
28210,6,37
28220,10,176
28221,1,9
28222,5,116
28223,0,2
28224,4,58
28229,5,9
28231,2,19
28232,6,34
28250,7,18
28260,7,62
28280,3,9
28290,3,20
28294,0,1
28300,11,108
28341,2,6
28342,18,163
28350,4,36
28360,1,3
28390,0,5
28400,2,2
28411,3,9
28412,0,6
28420,3,7
28430,2,23
28440,2,7
28460,10,39
28490,1,7
28492,19,179
28500,8,66
28510,2,4
28514,11,123
28521,1,69
28522,3,57
28530,2,19
28600,9,28
28609,5,45
28610,1,40
28660,16,344
28669,4,68
28680,0,1
28690,0,1
28691,2,11
28701,3,48
28702,7,22
28703,2,6
28706,4,4
28709,33,225
28710,0,1
28723,1,1
28729,1,2
28730,1,1
28739,1,6
28750,97,142
28760,13,187
28770,2,18
28792,1,25
28794,3,27
28804,0,2
28805,0,23
28806,5,79
28816,1,1
28822,0,3
28823,4,64
28830,1,10
28850,36,291
28860,2,41
28863,5,22
28891,0,2
28901,0,2
28903,11,95
28906,1,4
28911,1,1
28912,3,5
28913,3,23
28915,1,5
28916,2,3
28917,3,6
28918,5,41
28919,1,1
28922,0,3
28924,5,49
28925,3,22
28931,0,1
28932,2,24
28933,0,1
28935,0,14
28938,5,123
28939,3,10
28942,2,32
28943,1,11
28944,2,14
28945,1,1
28970,2,15
28971,17,51
28976,0,2
28981,4,6
28982,2,4
28983,8,47
29002,9,24
29003,1,3
29004,4,163
29007,1,4
29010,21,237
29013,2,19
29014,6,37
29016,3,19
29100,11,115
29110,0,1
29120,2,5
29140,7,80
29200,24,101
29220,2,5
29310,5,32
29312,6,61
29320,22,97
29327,2,20
29328,0,1
29330,1,1
29380,2,7
29400,5,23
29510,1,1
29532,1,2
29540,0,1
29550,2,2
29560,0,1
29580,1,1
29600,0,1
29601,19,167
29602,11,177
29603,6,83
29620,9,35
29630,1,16
29631,6,21
29640,0,4
29649,4,39
29650,3,10
29651,6,78
29660,0,2
29670,9,107
29678,3,63
29680,9,106
29689,1,2
29693,0,3
29700,1,1
29713,0,2
29730,0,2
29740,2,3
29770,0,16
29780,2,37
29790,6,78
29793,0,8
30001,3,239
30006,0,1
30007,1,6
30008,8,213
30010,3,12
30100,0,6
30107,0,2
30110,2,10
30150,1,9
30161,5,28
30170,3,4
30201,0,7
30204,12,189
30205,0,3
30310,0,5
30353,0,1
30360,10,29
30392,0,14
30394,0,5
30400,52,404
30410,0,1
30420,2,21
30500,1,3
30507,0,3
30508,0,1
30510,0,11
30530,10,23
30560,0,1
30564,2,27
30600,0,4
30740,0,2
30800,5,56
30820,0,3
30840,1,5
30850,34,168
30860,5,38
30868,1,10
30870,5,114
30877,0,1
30880,5,31
30890,1,2
31006,2,2
31100,1,1
31174,4,88
31190,0,1
31192,1,1
31200,2,2
31390,1,1
31400,29,72
31409,1,20
31421,0,1
31460,0,4
31500,5,20
31587,5,22
31600,1,2
31620,2,128
31621,0,1
31695,0,1
31800,0,1
31870,1,1
32004,0,10
32005,0,2
32627,1,16
33008,0,1
33009,0,1
33010,2,9
33011,0,1
33012,1,5
33119,0,1
33202,1,6
33204,0,1
33205,0,6
33212,0,1
33213,0,1
33392,1,1
33403,0,3
33405,0,6
33500,3,21
33509,1,2
33510,0,4
33592,0,1
33670,0,2
33690,0,2
33700,4,16
33950,2,3
35015,0,1
35018,0,14
35200,0,5
35213,1,22
35259,0,4
35339,0,2
35413,0,1
35415,0,4
35509,0,8
36001,1,15
36002,0,2
36003,17,60
36004,0,5
36140,0,13
36164,1,7
36203,1,3
36205,0,3
36207,0,3
36210,2,10
36214,2,17
36600,1,4
36613,1,1
36627,0,1
36690,0,3
36700,3,32
36713,0,1
36715,1,4
36800,0,6
36812,0,3
36915,2,5
36930,0,2
36939,0,1
37003,5,62
37184,1,4
37621,0,4
37700,1,21
37760,0,1
37770,0,1
38003,0,7
38005,0,2
38007,0,9
38202,0,6
38203,0,1
38290,0,4
38320,0,3
38360,0,6
38379,0,2
38410,0,2
38419,0,2
38509,0,1
38550,0,1
38588,0,21
38627,0,9
38632,1,8
38639,2,39
38660,0,3
38800,2,8
39007,2,2
39008,0,1
39120,0,2
39300,1,3
39312,0,10
39400,0,2
39478,0,1
39600,14,29
39620,0,1
39700,1,28
40002,1,2
40006,0,12
40424,0,1
41004,3,20
41005,0,6
41006,5,31
41007,0,1
41008,4,77
41009,1,59
41010,3,12
41012,5,75
41013,0,4
41014,1,4
41015,3,39
41016,3,16
41018,2,77
41019,6,67
41020,2,34
41089,5,38
41100,14,88
41111,17,56
41120,0,8
41200,0,2
41210,10,108
41230,0,15
41300,1,12
41309,1,13
41310,2,22
41320,0,1
41400,11,119
41410,21,124
41420,0,3
41440,3,24
41450,0,1
41500,0,28
41530,1,5
41560,5,22
41600,22,60
41610,1,2
41650,6,24
41701,0,13
41703,0,2
41704,3,25
41710,24,271
41720,1,12
41730,1,23
41740,16,54
41800,0,1
41807,1,8
41808,6,48
41840,0,6
41860,0,3
41880,2,5
41900,0,2
41907,0,3
41909,8,39
41910,0,1
41920,2,269
41927,4,40
41928,0,1
41940,24,117
41980,0,2
42001,0,2
42004,0,4
42005,0,6
42134,1,5
42190,0,4
42200,0,3
42211,0,3
42216,0,3
43002,3,25
43007,1,16
43008,0,1
43120,4,24
43203,0,4
43205,1,32
43470,1,5
43480,2,17
43481,1,14
43500,0,1
43530,4,11
43540,19,114
43580,3,33
43700,1,10
43730,0,12
43800,1,16
43812,6,29
43820,0,9
43830,3,11
43839,8,189
43840,2,8
43850,0,1
43881,4,22
43882,0,4
43890,29,229
43893,0,2
43895,0,1
44001,0,1
44002,10,104
44190,0,1
44195,1,2
44200,0,4
44580,1,7
44600,1,52
45003,6,20
45004,3,7
45005,2,12
45006,1,1
45007,6,25
45008,2,41
45100,0,1
45111,21,130
45126,12,33
45183,0,1
45190,2,3
45200,13,130
45210,0,2
45214,3,21
45220,2,8
45221,2,47
45223,0,4
45224,0,7
45230,1,5
45270,0,3
45300,0,10
45400,1,1
45470,0,1
45500,2,6
45593,3,9
45600,27,233
45611,0,5
45710,47,218
45800,0,1
45860,1,2
45880,1,2
45910,0,12
45930,1,1
46003,2,40
46004,2,25
46005,3,46
46006,4,24
46007,5,113
46008,9,86
46009,0,1
46010,2,66
46013,0,1
46014,0,1
46016,1,120
46017,18,165
46018,0,51
46019,4,61
46020,0,10
46021,3,74
46022,6,239
46024,0,1
46025,0,3
46035,0,5
46100,1,3
46117,0,2
46119,2,3
46120,0,6
46130,2,11
46132,0,1
46133,1,49
46134,2,104
46135,0,1
46136,0,1
46160,0,7
46180,0,3
46183,7,169
46184,0,1
46185,0,8
46191,0,1
46192,1,9
46200,1,3
46220,0,7
46230,0,1
46240,5,45
46250,19,172
46260,11,35
46290,0,5
46360,6,66
46370,2,97
46380,1,18
46389,1,10
46410,0,1
46420,5,28
46430,1,48
46450,0,6
46460,0,1
46470,9,58
46520,2,41
46529,2,108
