Postal code,n_positives,city
11160,1,Cádiz
11203,3,Cádiz
11204,7,Cádiz
11206,0,Cádiz
11300,1,Cádiz
11310,0,Cádiz
11311,1,Cádiz
11360,4,Cádiz
11370,0,Cádiz
11402,0,Cádiz
11405,0,Cádiz
11406,1,Cádiz
11407,4,Cádiz
11408,8,Cádiz
11500,12,Cádiz
11510,6,Cádiz
11519,2,Cádiz
11520,0,Rota
11540,1,Cádiz
11630,0,Cádiz
11650,1,Cádiz
11680,6,Cádiz
12003,0,Castelló
12004,7,Castelló
12005,2,Castelló
12006,8,Castelló
12110,51,Castelló
12190,0,Castelló
12200,4,Castelló
12420,0,Castellón
12428,0,Castelló
12460,1,Castellón
12500,5,Castelló
12539,11,Castelló
12540,4,Castelló
12550,4,Castelló
12560,8,Castelló
12580,9,Castelló
12590,0,Castelló
12594,0,Castelló
12598,0,Castelló
12600,4,Castelló
13001,0,Ciudad Real
13003,2,Ciudad Real
13004,1,Ciudad Real
13005,0,Ciudad Real
13100,3,Ciudad Real
13170,1,Ciudad Real
13195,0,Ciudad Real
13200,0,Ciudad Real
13240,1,Ciudad Real
13250,22,Ciudad Real
13260,0,Ciudad Real
13270,2,Ciudad Real
13300,5,Ciudad Real
13320,3,Ciudad Real
13370,1,Ciudad Real
13380,0,Ciudad Real
13400,2,Ciudad Real
13500,7,Ciudad Real
13580,1,Ciudad Real
13600,1,Ciudad Real
13620,2,Ciudad Real
13640,0,Ciudad Real
13650,0,Ciudad Real
13670,7,Villarrubia de los Ojos
13700,1,Ciudad Real
13770,0,Ciudad Real
14001,8,Córdoba
14004,15,Córdoba
14005,16,Córdoba
14006,5,Córdoba
14007,8,Córdoba
14009,4,Córdoba
14010,0,Córdoba
14011,0,Córdoba
14012,6,Córdoba
14013,4,Córdoba
14029,29,Córdoba
14130,0,Córdoba
14200,4,Córdoba
14400,0,Córdoba
14520,10,Córdoba
14540,2,Córdoba
14548,12,Córdoba
14550,9,Córdoba
14600,1,Córdoba
14610,0,Córdoba
14700,9,Córdoba
14710,3,Córdoba
14711,0,Córdoba
14800,41,Córdoba
14830,1,Córdoba
14850,15,Córdoba
14900,0,Córdoba
14910,25,Córdoba
14920,2,Córdoba
15002,0,A Coruña
15003,0,A Coruña
15006,1,La Coruña
15007,1,La Coruña
15008,0,A Coruña
15009,0,A Coruña
15010,11,A Coruña
15011,1,A Coruña
15102,0,A Coruña
15110,0,A Coruña
15160,0,La Coruña
15165,0,La Coruña
15168,1,A Coruña
15172,1,La Coruña
15200,0,Noia
15220,0,A Coruña
15300,0,A Coruña
15310,0,A Coruña
15318,2,A Coruña
15319,0,A Coruña
15403,0,Ferrol
15404,3,A Coruña
15594,5,A Coruña
15659,1,Cambre
15669,0,La Coruña
15670,1,A Coruña
15702,0,A Coruña
15705,0,A Coruña
15840,0,La Coruña
16002,1,Cuenca
16003,4,Cuenca
16004,2,Cuenca
16235,7,Cuenca
16240,0,Cuenca
17200,2,Girona
17300,1,Girona
17310,1,Girona
