Postal code,Dudoso,Error,Invalido,Inválido,Negativo,Positivo,Positivo Fuerte
14001,1,1,0,0,58,8,0
14004,2,0,0,0,85,15,0
14005,1,1,0,0,19,16,0
14006,0,5,0,0,24,5,0
14007,0,1,0,0,156,8,0
14009,0,0,0,0,11,4,0
14010,0,0,0,0,4,0,0
14011,0,1,0,0,23,0,0
14012,0,0,0,0,8,6,0
14013,0,0,0,0,17,4,0
14029,0,1,0,0,86,29,0
14130,0,0,0,0,1,0,0
14200,0,0,0,0,15,4,0
14400,0,0,0,0,10,0,0
14520,0,0,0,0,29,10,0
14540,0,0,0,0,0,2,0
14548,0,0,0,0,38,12,0
14550,1,2,0,0,33,9,0
14600,0,2,0,0,7,1,0
14610,0,0,0,0,1,0,0
14700,0,1,0,0,55,9,0
14710,0,0,0,0,6,3,0
14711,0,0,0,0,1,0,0
14800,0,0,0,0,74,41,0
14830,0,0,0,0,10,1,0
14850,2,1,0,0,128,15,0
14900,0,0,0,0,10,0,0
14910,3,1,0,0,116,25,0
14920,0,1,0,0,11,2,0
15002,1,0,0,0,1,0,0
15003,2,0,0,0,5,0,0
15006,0,1,0,0,2,1,0
15007,1,0,0,0,3,1,0
15008,0,0,0,0,1,0,0
15009,0,1,0,0,0,0,0
15010,5,0,0,0,44,11,0
15011,0,1,0,0,1,1,0
15102,0,0,0,0,1,0,0
15110,0,0,0,0,1,0,0
15160,0,0,0,0,5,0,0
15165,0,0,0,0,1,0,0
15168,0,0,0,0,0,1,0
15172,0,0,0,0,8,1,0
15200,0,0,0,0,3,0,0
15220,0,1,0,0,3,0,0
15300,0,0,0,0,1,0,0
15310,0,0,0,0,4,0,0
15318,0,0,0,0,0,2,0
15319,0,0,0,0,1,0,0
15403,0,0,0,0,2,0,0
15404,0,0,0,0,7,3,0
15594,3,3,0,0,93,5,0
15659,0,1,0,0,11,1,0
15669,0,0,0,0,1,0,0
15670,0,0,0,0,1,1,0
15702,0,0,0,0,6,0,0
15705,0,0,0,0,5,0,0
15840,0,0,0,0,9,0,0
16002,0,0,0,0,0,1,0
16003,1,0,0,0,8,4,0
16004,0,0,0,0,0,2,0
16235,0,0,0,0,17,7,0
16240,0,0,0,0,1,0,0
17200,0,0,0,0,0,2,0
17300,0,0,0,0,6,1,0
17310,0,0,0,0,2,1,0
17404,1,0,0,0,7,5,0
17411,0,0,0,0,2,0,0
17412,0,0,0,0,1,0,0
17488,3,1,0,0,144,12,0
17600,0,0,0,0,20,4,0
17706,0,0,0,0,2,0,0
18002,0,0,0,0,3,0,0
18003,2,0,0,0,35,4,0
18005,0,0,0,0,0,1,0
18006,0,0,0,0,9,0,0
18007,0,0,0,0,6,0,0
18008,0,0,0,0,12,5,0
18009,1,0,0,0,27,3,0
18012,8,4,0,0,71,23,0
18014,1,7,0,0,180,6,0
18015,0,0,0,0,0,1,0
18016,0,0,0,0,1,0,0
18110,0,0,0,0,1,2,0
18193,0,0,0,0,5,3,0
18195,0,0,0,0,0,1,0
18197,0,1,0,0,8,4,0
18200,0,2,0,0,41,2,0
18220,0,0,0,0,1,0,0
18230,0,3,0,0,17,3,0
18300,0,0,0,0,1,0,0
18360,0,0,0,0,0,1,0
18500,1,2,0,0,365,70,0
18600,1,2,0,0,10,1,0
18620,0,6,0,0,26,11,0
18680,0,0,0,0,24,0,0
18690,3,4,0,0,257,25,0
18800,3,3,0,0,66,32,0
18810,0,0,0,0,1,0,0
18812,0,0,0,0,8,1,0
18817,0,0,0,0,17,12,0
18818,0,0,0,0,1,0,0
18830,0,0,0,0,3,0,0
19004,0,0,0,0,1,0,0
19141,0,0,0,0,1,0,0
19170,0,0,0,0,16,1,0
19171,0,0,0,0,2,0,0
19174,0,0,0,0,1,0,0
19180,0,3,0,0,26,1,0
19185,0,0,0,0,1,0,0
19187,0,0,0,0,2,0,0
19188,0,0,0,0,17,2,0
19200,1,0,0,0,3,0,0
19208,0,0,0,0,2,0,0
19326,0,0,0,0,9,1,0
20001,0,0,0,0,0,1,0
20002,1,0,0,0,10,16,0
20010,0,1,0,0,8,2,0
20012,0,0,0,0,1,0,0
20015,0,0,0,0,0,1,0
20017,0,0,0,0,2,3,0
20120,0,0,0,0,1,1,0
20304,0,0,0,0,1,0,0
20305,3,0,0,0,42,9,0
20810,0,0,0,0,2,0,0
21001,0,1,0,0,23,3,0
21002,1,1,0,0,51,5,0
21003,0,0,0,0,14,2,0
21004,2,2,0,0,113,4,0
21005,0,0,0,0,34,2,0
21006,1,0,0,0,64,2,0
21007,0,1,0,0,39,4,0
21100,0,0,0,0,3,0,0
21110,0,0,0,0,32,4,0
21120,0,0,0,0,1,1,0
21200,0,0,0,0,1,0,0
21400,0,0,0,0,2,0,0
21440,0,0,0,0,4,0,0
21449,0,0,0,0,39,3,0
21450,0,0,0,0,38,3,0
21510,0,2,0,0,119,9,0
21520,0,0,0,0,1,0,0
21600,0,0,0,0,11,9,0
21710,2,2,0,0,145,22,0
21730,1,0,0,0,4,0,0
21760,0,0,0,0,0,1,0
21830,0,0,0,0,1,0,0
21880,0,4,0,0,25,38,0
22005,2,0,0,0,33,8,0
22006,0,0,0,0,15,1,0
22300,0,0,0,0,2,1,0
22400,0,0,0,0,8,0,0
22600,0,0,0,0,5,2,0
22660,0,0,0,0,5,0,0
23001,0,0,0,0,56,10,0
23002,0,5,0,0,108,7,0
23003,0,0,0,0,1,0,0
23004,0,0,0,0,1,0,0
23007,0,0,0,0,1,0,0
23008,0,1,0,0,80,4,0
23009,0,0,0,0,5,3,0
23100,0,0,0,0,2,0,0
23170,0,0,0,0,1,0,0
23196,0,0,0,0,1,0,0
23200,0,7,0,0,32,8,0
23211,0,0,0,0,0,1,0
23240,3,1,0,0,35,21,0
23320,3,2,0,0,102,29,0
23400,0,0,0,0,4,1,0
23440,1,0,0,0,1,0,0
23470,0,0,0,0,1,0,0
23650,0,0,0,0,20,1,0
23680,0,2,0,0,91,18,0
23686,0,0,0,0,0,1,0
23687,0,0,0,0,3,0,0
23689,0,0,0,0,1,0,0
23690,0,0,0,0,0,2,0
23691,0,0,0,0,0,1,0
23692,0,0,0,0,2,2,0
23700,1,1,0,0,66,18,0
23740,1,2,0,0,6,3,0
24001,0,2,0,0,6,1,0
24002,0,0,0,0,16,6,0
24003,0,0,0,0,2,0,0
24005,2,0,0,0,41,7,0
24007,0,2,0,0,53,7,0
24195,15,1,0,0,34,15,0
24196,1,1,0,0,15,1,0
24210,0,0,0,0,1,0,0
24300,0,0,0,0,14,1,0
24320,1,3,0,0,19,3,0
24400,0,1,0,0,1,0,0
24750,0,0,0,0,1,0,0
25001,0,0,0,0,6,0,0
25002,0,0,0,0,0,1,0
25003,0,1,0,0,3,0,0
25005,0,0,0,0,3,1,0
25100,0,0,0,0,1,0,0
25200,0,0,0,0,4,2,0
25230,2,0,0,0,28,7,0
25400,0,0,0,0,21,3,0
26003,0,0,0,0,0,1,0
26005,0,0,0,0,7,2,0
26200,0,0,0,0,0,1,0
26250,0,0,0,0,4,0,0
26300,0,2,0,0,39,4,0
26360,1,0,0,0,108,7,0
26540,0,0,0,0,29,2,0
26580,1,0,0,0,8,0,0
27002,0,0,0,0,5,0,0
27400,0,1,0,0,0,0,0
27518,0,1,0,0,3,0,0
27600,1,0,0,0,8,2,0
27619,0,0,0,0,2,0,0
27700,0,2,0,0,0,0,0
27780,1,0,0,0,13,2,0
27800,0,1,0,0,0,0,0
28002,1,1,0,0,67,7,0
28003,0,0,0,0,107,2,0
28004,0,0,0,0,0,2,0
28005,5,3,0,0,209,20,0
28007,0,1,0,0,3,0,0
28009,2,5,0,0,91,7,0
28010,0,1,0,0,36,3,0
28011,0,3,0,0,16,0,0
28015,1,2,0,0,104,7,0
28016,0,0,0,0,5,2,0
28018,1,2,0,0,23,3,0
28019,0,0,0,0,29,3,0
28020,0,0,0,0,5,4,0
28021,0,0,0,0,15,3,0
28022,0,0,0,0,80,1,0
28023,1,0,0,0,7,2,0
28024,0,3,0,0,26,2,0
28025,0,0,0,0,1,0,0
28026,0,0,0,0,1,0,0
28027,2,0,0,0,40,16,0
28028,3,1,0,0,197,21,0
28029,4,6,0,0,86,25,0
28030,0,0,0,0,1,0,0
28031,1,0,0,0,34,8,0
28032,0,0,0,0,100,4,0
28033,0,1,0,0,18,1,0
28034,1,1,0,0,55,9,0
28035,0,1,0,0,243,12,0
28036,1,1,0,0,79,4,0
28037,0,0,0,0,21,0,0
28038,0,0,0,0,4,0,0
28039,2,1,0,0,9,5,0
28041,1,0,0,0,17,0,0
28042,0,1,0,0,4,16,0
28043,4,13,0,0,622,38,0
28045,0,0,0,0,42,2,0
28046,0,0,0,0,1,0,0
28050,0,0,0,0,0,2,0
28052,0,0,0,0,3,0,0
28053,0,0,0,0,6,3,0
28054,0,0,0,0,27,1,0
28055,0,0,0,0,3,2,0
28100,5,5,0,0,175,32,0
28108,0,0,0,0,1,1,0
28109,0,0,0,0,1,1,0
28110,0,4,0,0,21,2,0
28119,0,0,0,0,1,1,0
28130,0,1,0,0,10,0,0
28150,0,0,0,0,2,0,0
28160,1,2,0,0,44,10,0
28180,0,0,0,0,9,5,0
28189,0,5,0,0,1,0,0
28210,0,1,0,0,31,6,0
28220,2,0,0,0,166,10,0
28221,1,0,0,0,8,1,0
28222,1,2,0,0,111,5,0
28223,0,0,0,0,2,0,0
28224,0,1,0,0,54,4,0
28229,0,1,0,0,7,5,0
28231,0,0,0,0,17,2,0
28232,0,0,0,0,28,6,0
28250,0,0,0,0,12,7,0
28260,0,1,0,0,55,7,0
28280,1,0,0,0,6,3,0
28290,0,0,0,0,17,3,0
28294,0,0,0,0,1,0,0
28300,0,7,0,0,98,11,0
28341,1,0,0,0,4,2,0
28342,4,5,0,0,146,18,0
28350,1,0,0,0,32,4,0
28360,0,0,0,0,2,1,0
28390,0,0,0,0,5,0,0
28400,0,0,0,0,0,2,0
28410,0,2,0,0,0,0,0
28411,0,0,0,0,6,3,0
28412,0,0,0,0,6,0,0
28420,0,1,0,0,4,3,0
28430,0,0,0,0,21,2,0
28440,1,0,0,0,5,2,0
28460,1,0,0,0,29,10,0
28490,1,1,0,0,6,1,0
28492,4,5,0,0,161,19,0
28500,0,0,0,0,59,8,0
28510,0,0,0,0,2,2,0
28514,1,1,0,0,115,11,0
28521,0,5,0,0,68,1,0
28522,1,1,0,0,54,3,0
28530,0,0,0,0,17,2,0
28600,1,0,0,0,19,9,0
28609,0,0,0,0,40,5,0
28610,0,0,0,0,39,1,0
28660,0,9,0,0,328,16,0
28669,0,0,0,0,64,4,0
28680,0,0,0,0,1,0,0
28690,0,0,0,0,1,0,0
28691,0,2,0,0,9,2,0
28701,1,5,0,0,45,3,0
28702,0,1,0,0,15,7,0
28703,0,0,0,0,4,2,0
28706,0,0,0,0,0,4,0
28709,1,6,0,0,192,33,0
28710,0,0,0,0,1,0,0
28723,0,0,0,0,0,1,0
28729,0,0,0,0,1,1,0
28730,0,0,0,0,0,1,0
28739,0,0,0,0,5,1,0
28750,1,0,0,0,46,97,0
28760,3,2,0,0,174,13,0
28770,0,0,0,0,17,2,0
28792,1,1,0,0,24,1,0
28794,1,1,0,0,24,3,0
28804,0,0,0,0,2,0,0
28805,0,0,0,0,23,0,0
28806,0,0,0,0,74,5,0
28816,0,0,0,0,0,1,0
28821,0,0,0,0,1,0,0
28822,0,0,0,0,3,0,0
28823,2,0,0,0,60,4,0
28830,0,0,0,0,9,1,0
28850,4,4,0,0,255,36,0
28860,0,1,0,0,40,2,0
28863,0,0,0,0,17,5,0
28891,0,0,0,0,2,0,0
28901,0,0,0,0,2,0,0
28903,0,1,0,0,84,11,0
28906,0,2,0,0,3,1,0
28911,0,0,0,0,0,1,0
28912,0,0,0,0,2,3,0
28913,0,1,0,0,20,3,0
28915,0,0,0,0,4,1,0
28916,0,0,0,0,1,2,0
28917,0,0,0,0,3,3,0
28918,2,0,0,0,36,5,0
28919,0,0,0,0,0,1,0
28922,0,0,0,0,3,0,0
28924,0,2,0,0,44,5,0
28925,1,0,0,0,19,3,0
28931,0,0,0,0,1,0,0
28932,0,1,0,0,22,2,0
28933,0,0,0,0,1,0,0
28935,0,0,0,0,14,0,0
28938,1,0,0,0,118,5,0
28939,0,0,0,0,8,3,0
28942,0,2,0,0,30,2,0
28943,0,0,0,0,10,1,0
28944,0,0,0,0,12,2,0
28945,0,0,0,0,0,1,0
28970,0,1,0,0,13,2,0
28971,0,1,0,0,35,17,0
28976,0,0,0,0,2,0,0
28981,0,0,0,0,2,4,0
28982,0,0,0,0,2,2,0
28983,0,0,0,0,40,8,0
29002,0,0,0,0,16,9,0
29003,0,0,0,0,2,1,0
29004,2,3,0,0,160,4,0
29007,1,0,0,0,3,1,0
29010,3,7,0,0,217,21,0
29013,0,0,0,0,17,2,0
29014,2,0,0,0,32,6,0
29016,1,0,0,0,16,3,0
29100,0,5,0,0,104,11,0
29110,0,0,0,0,1,0,0
29120,0,0,0,0,3,2,0
29140,0,3,0,0,73,7,0
29200,0,2,0,0,77,24,0
29220,1,0,0,0,3,2,0
29310,0,0,0,0,27,5,0
29312,1,0,0,0,55,6,0
29320,1,0,0,0,76,22,0
29327,0,0,0,0,18,2,0
29328,0,0,0,0,1,0,0
29330,0,0,0,0,0,1,0
29380,1,0,0,0,5,2,0
29400,0,2,0,0,18,5,0
29510,0,0,0,0,0,1,0
29532,0,0,0,0,1,1,0
29540,0,0,0,0,1,0,0
29550,0,0,0,0,0,2,0
29560,0,0,0,0,1,0,0
29580,0,0,0,0,0,1,0
29600,0,0,0,0,1,0,0
29601,1,7,0,0,148,19,0
29602,2,10,0,0,166,11,0
29603,0,2,0,0,77,6,0
29620,3,0,0,0,26,9,0
29630,0,1,0,0,15,1,0
29631,0,0,0,0,15,6,0
29640,0,0,0,0,4,0,0
29649,0,0,0,0,36,4,0
29650,2,0,0,0,7,3,0
29651,0,3,0,0,72,6,0
29660,0,0,0,0,2,0,0
29670,3,6,0,0,98,9,0
29678,0,0,0,0,60,3,0
29680,0,0,0,0,97,9,0
29689,0,0,0,0,1,1,0
29693,0,0,0,0,3,0,0
29700,0,0,0,0,0,1,0
29713,0,0,0,0,2,0,0
29730,0,0,0,0,2,0,0
29740,0,0,0,0,1,2,0
29770,0,1,0,0,16,0,0
29780,0,1,0,0,35,2,0
29790,4,4,0,0,72,6,0
29793,0,0,0,0,8,0,0
30001,2,5,0,0,236,3,0
30006,0,0,0,0,1,0,0
30007,0,0,0,0,5,1,0
30008,1,1,0,0,207,8,0
30010,0,0,0,0,9,3,0
30100,0,0,0,0,6,0,0
30107,0,0,0,0,2,0,0
30110,0,2,0,0,10,2,0
30150,0,0,0,0,8,1,0
30161,0,0,0,0,23,5,0
30170,0,0,0,0,1,3,0
30201,0,0,0,0,7,0,0
30204,0,0,0,0,177,12,0
30205,0,0,0,0,3,0,0
30310,0,0,0,0,5,0,0
30353,0,0,0,0,1,0,0
30360,0,1,0,0,19,10,0
30392,0,0,0,0,14,0,0
30394,0,0,0,0,6,0,0
30400,9,11,0,0,354,52,0
30410,0,0,0,0,1,0,0
30420,0,0,0,0,19,2,0
30500,0,0,0,0,2,1,0
30507,0,0,0,0,3,0,0
