Cod_DC,SUM_Total_censo humano,Shape_Leng,Shape_Area,Cod _prov,Cod _prov,Cod _prov,CCAA,COD_CCAA,Prov,Tasa_CCAA,Estimacion mascotas CP
0200501,680.00000000000,36260.67851610000,72028488.48730000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,93.87136615
0200601,649.00000000000,53665.22617850000,99518770.07590000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,89.59193623
0200701,1144.00000000000,51487.80729300000,146775520.92000000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,157.9247689
0200801,1305.00000000000,288981.48188600000,370282723.84100000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,180.1501953
0200901,2296.00000000000,1901.27540402000,148799.56151600000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,316.9539069
0200902,4619.00000000000,4314.70981715000,848789.58640600000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,637.6350592
0200903,12499.00000000000,5381.56443417000,968206.89140800000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,1725.438538
0200904,4832.00000000000,101429.20147800000,529858778.66500000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,667.0388842
0201001,1631.00000000000,29807.68575210000,34819495.40010000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,225.1532326
0201002,657.00000000000,51477.97089240000,143609795.83300000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,90.69630524
0201101,611.00000000000,65664.61910080000,146711651.07100000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,84.34618341
0201201,2412.00000000000,31737.94910500000,65109479.73750000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,332.9672576
0201301,136.00000000000,39456.25555550000,76332521.34640000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,18.77427323
0201401,414.00000000000,49374.67499500000,138587607.29700000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,57.15109645
0201501,1877.00000000000,52892.61588080000,189710721.30500000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,259.1125798
0201601,568.00000000000,56291.16794640000,90664779.40610000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,78.41019996
0201701,746.00000000000,77089.12506420000,165899075.47600000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,102.9824105
0201801,980.00000000000,55720.49196860000,125021960.52200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,135.2852042
0201901,2646.00000000000,154273.33560300000,502277402.64500000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,365.2700512
0202001,490.00000000000,38538.70295730000,75343942.85530000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,67.64260208
0202101,1350.00000000000,44199.03428950000,88945847.01780000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,186.362271
0202201,326.00000000000,70748.35778160000,112239161.03100000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,45.0030373
0202301,561.00000000000,67922.27997670000,125061182.09200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,77.44387708
0202401,3852.00000000000,36770.98271820000,51997675.25960000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,531.75368
0202402,723.00000000000,39873.68048330000,51183797.71230000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,99.8073496
0202501,10171.00000000000,49633.42961970000,141592952.67800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,1404.067155
0202601,1163.00000000000,35195.10840020000,63229954.58540000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,160.5476453
0202701,302.00000000000,42335.67897160000,94668782.27860000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,41.68993026
0202801,130.00000000000,15798.36159830000,14458411.20090000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,17.94599647
0202901,2523.00000000000,46600.12131730000,130754100.47400000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,348.2903777
0202902,2083.00000000000,180727.06122800000,549150493.40200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,287.5500819
0203001,1455.00000000000,4285.78886128000,536941.56026400000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,200.8571143
0203002,2115.00000000000,88269.56446810000,238802168.20800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,291.967558
0203101,619.00000000000,56931.77365950000,126067527.42700000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,85.45055242
0203201,297.00000000000,26365.86813170000,23942003.51100000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,40.99969963
0203301,2438.00000000000,45585.04553870000,133336337.13800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,336.5564569
0203401,1828.00000000000,64722.30194130000,108246613.40400000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,252.3483196
0203501,2601.00000000000,49610.44608840000,136668999.94600000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,359.0579755
0203601,92.00000000000,24494.69078380000,28163115.94410000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,12.70024366
0203701,7483.00000000000,15275.22578560000,5202222.23660000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,1032.999166
0203702,5111.00000000000,2806.86492394000,352455.72933900000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,705.5537535
0203703,12195.00000000000,17236.76965580000,10980990.70300000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,1683.472515
0203704,1898.00000000000,124326.93111800000,274168506.22800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,262.0115485
0203705,2992.00000000000,78820.63505290000,204951906.53200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,413.0340111
0203706,820.00000000000,93824.28387100000,285154970.45000000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,113.1978239
0203801,314.00000000000,42146.29754780000,63360220.55960000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,43.34648378
0203901,1150.00000000000,86369.94329980000,205382649.04200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,158.7530457
0204001,624.00000000000,48057.49776410000,114525861.60200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,86.14078306
0204101,345.00000000000,57176.65430520000,67942345.83360000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,47.62591371
0204201,928.00000000000,81861.44015000000,263390129.76900000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,128.1068056
0204301,1302.00000000000,86169.10428910000,360645824.05200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,179.736057
0204401,1077.00000000000,78746.93559050000,311391268.03800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,148.6756785
0204501,2238.00000000000,23327.07246390000,32595606.28910000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,308.9472315
0204502,2442.00000000000,27411.58770860000,40674534.66150000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,337.1086414
0204601,1496.00000000000,48008.61071440000,108088368.74200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,206.5170055
0204701,139.00000000000,42898.97289500000,103794767.65400000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,19.18841161
0204801,1455.00000000000,44089.73244470000,69780909.97270000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,200.8571143
0204901,829.00000000000,71819.59635400000,143484589.20600000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,114.440239
0205001,89.00000000000,23430.16512750000,24776182.37610000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,12.28610528
0205101,1057.00000000000,51716.52461200000,72963679.61540000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,145.9147559
0205102,984.00000000000,49877.75748440000,104777528.39700000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,135.8373887
0205201,665.00000000000,24659.77719930000,23805476.03920000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,91.80067425
0205301,1210.00000000000,53615.93184010000,184472482.97500000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,167.0358133
0205302,1088.00000000000,22836.52138410000,25436596.56790000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,150.1941858
0205303,1111.00000000000,17537.13301110000,19347437.40940000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,153.3692468
0205401,516.00000000000,26027.37065000000,42238632.51460000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,71.23180137
0205501,1175.00000000000,98008.13883710000,435472253.66800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,162.2041989
0205601,812.00000000000,26489.95007750000,33805481.04580000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,112.0934549
0205602,1105.00000000000,22119.94100440000,20555259.68180000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,152.54097
0205701,2213.00000000000,69123.89591290000,243310531.78800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,305.4960784
0205801,353.00000000000,53937.27975480000,112256049.30800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,48.73028272
0205901,331.00000000000,106201.09604300000,189121348.82500000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,45.69326794
0206001,1458.00000000000,73301.11783340000,158652863.05600000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,201.2712527
0206101,670.00000000000,40823.74835390000,74602074.06140000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,92.49090489
0206201,396.00000000000,35543.34338810000,49389787.25020000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,54.66626617
0206301,1553.00000000000,49274.06870230000,136458636.67300000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,214.3856348
0206401,390.00000000000,36468.08494570000,80924490.97340000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,53.83798941
0206501,469.00000000000,48355.06096690000,133692577.97100000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,64.74363342
0206601,221.00000000000,39016.28375290000,29727933.73450000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,30.508194
0206701,1323.00000000000,55575.00345580000,80859743.50590000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,182.6350256
0206801,396.00000000000,51602.96122210000,119997091.51500000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,54.66626617
0206901,6243.00000000000,67221.07077740000,124386308.32800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,861.821969
0206902,5678.00000000000,89948.09394130000,238693442.56300000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,783.8259074
0206903,3711.00000000000,27393.28928670000,35441033.83110000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,512.2891762
0207001,435.00000000000,39259.86436450000,49490892.56520000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,60.05006511
0207101,1187.00000000000,37003.94380040000,83058346.09630000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,163.8607524
0207201,1704.00000000000,64897.49620640000,138528121.88800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,235.2305999
0207301,4550.00000000000,49190.77637840000,119972370.06600000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,628.1098765
0207302,1606.00000000000,49747.32832570000,92497429.29460000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,221.7020795
0207401,1371.00000000000,52867.81835740000,84704523.02710000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,189.2612397
0207402,3638.00000000000,39131.60210180000,75901005.44870000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,502.2118089
0207403,1973.00000000000,6034.23332550000,1637648.47555000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,272.365008
0207404,837.00000000000,54589.87949410000,162537744.12500000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,115.544608
0207501,1325.00000000000,30478.33708020000,40584466.11390000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,182.9111179
0207502,643.00000000000,32114.92010530000,30144134.27790000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,88.76365947
0207601,322.00000000000,91364.02809780000,127938976.25600000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,44.4508528
0207701,61.00000000000,35385.90312850000,57521757.95060000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,8.420813728
0207801,1110.00000000000,32716.05532620000,46666005.66790000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,153.2312006
0207901,2150.00000000000,37017.94959810000,31775704.95310000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,296.7991724
0207902,1803.00000000000,58161.13394200000,96161047.29910000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,248.8971664
0208001,556.00000000000,41423.03586160000,87378544.84590000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,76.75364644
0208101,3873.00000000000,95259.83983650000,375796573.27600000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,534.6526487
0208102,6814.00000000000,64956.73098370000,152852067.50000000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,940.6463073
0208103,6997.00000000000,50258.91639970000,89180097.22210000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,965.9087485
0208104,7406.00000000000,76706.71717330000,243913277.01700000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,1022.369614
0208201,114.00000000000,21679.17415940000,18818207.90130000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,15.73725844
0208301,209.00000000000,30492.26892520000,34828383.50850000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,28.85164048
0208400,0.00000000000,16865.87689630000,8268497.72459000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,0
0208401,311.00000000000,39404.12328690000,69027368.95710000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,42.9323454
0208501,308.00000000000,45460.41199670000,65316089.05410000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,42.51820702
0208601,2504.00000000000,120615.30135100000,510853276.67200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,345.6675012
0290101,2713.00000000000,62879.07462620000,101532130.76200000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,374.5191417
0300101,625.00000000000,18372.24725360000,14684143.19700000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,115.3780438
0300201,5069.00000000000,40001.08939790000,66613437.20720000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,935.7620862
0300301,619.00000000000,20530.57859950000,25845809.64990000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,114.2704145
0300401,1144.00000000000,20621.53295990000,18475274.67860000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,211.1879713
0300501,6358.00000000000,4566.69739868000,532137.16265200000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,1173.717764
0300502,6737.00000000000,39746.96783210000,61213042.99800000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,1243.683009
0300601,1392.00000000000,21595.01304760000,14409295.58390000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,256.9699791
0300701,260.00000000000,12548.18073980000,4714830.56840000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,47.99726621
0300801,192.00000000000,19205.68168640000,14567743.41910000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,35.44413504
0300901,4800.00000000000,5125.45150024000,575622.36862400000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,886.1033761
0300902,7388.00000000000,8648.32418780000,1350580.43896000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,1363.86078
0300903,6951.00000000000,6095.25132725000,726499.07420200000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,1283.188452
0300904,9121.00000000000,4316.66909172000,429598.43064100000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,1683.781019
0300905,7428.00000000000,5950.55265484000,658232.72425900000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,1371.244975
0300906,5551.00000000000,3362.67390152000,302978.30556000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,1024.741634
0300907,7427.00000000000,3970.35435509000,469217.17379200000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,1371.06037
0300908,10897.00000000000,79300.27425900000,125393764.68000000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,2011.639269
0301001,419.00000000000,18773.40659040000,19796961.06870000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,77.34944054
0301101,20710.00000000000,21161.69858030000,19316845.43500000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,3823.166858
0301201,3684.00000000000,30067.13530840000,18255207.12130000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,680.0843412
0301301,1398.00000000000,29543.87256150000,18432348.59520000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,258.0776083
0301401,21764.00000000000,18439.42089000000,1963051.27740000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,4017.740391
0301402,36126.00000000000,6858.44588005000,1555586.03082000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,6669.035535
0301403,52653.00000000000,7541.05110274000,2747903.89797000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,9720.000221
0301404,83032.00000000000,70387.99151070000,52295946.30140000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,15328.11157
0301405,33599.00000000000,6840.71605638000,1982931.64618000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,6202.539028
0301406,52583.00000000000,13737.45482370000,11294195.50650000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,9707.077881
0301407,30216.00000000000,16758.16757310000,5573821.60425000000,03,3,03,Comunitat Valenciana,10,Alicante/Alacant,0.18460487,5578.020753
