COD_POSTAL,Censo_mascota_CP,area_cp
1001,1133.577074,400138.2856
1002,4772.007849,1857745.776
1003,973.9792165,1583113.156
1004,973.9792165,211401.3244
1005,1133.577074,355300.7792
1006,973.9792165,3757663.818
1007,2038.071312,5939319.291
1008,2038.071312,1090784.057
1009,2038.071312,717695.5999
1010,2267.458779,6429326.334
1012,1133.577074,737574.1708
1013,2267.458779,9982156.159
1015,60.94804561,8594462.502
1100,60.94804561,395478.4292
1110,620.2705734205674,31900007.72
1117,93.91351833,117448599.5
1118,14.9704589,80899217.47
1120,35.33724601,4326328.382
1128,23.45662019,95039909.92
1129,35.33724601,81380812.27
1130,102.5737547,2796947.61
1138,158.3213066,92912740.42
1139,102.5737547,102561495.9
1160,40.8786368,10354940.51
1165,40.8786368,29771031.41
1169,40.8786368,33329402.6
1170,177.8177182,45005504.09
1191,60.94804561,63161995.36
1192,55.44292046,46820236.45
1193,60.94804561,48692919.38
1194,60.94804561,89724004.49
1195,60.94804561,26685343.04
1196,60.94804561,35637553.36
1200,441.9766877,21951501.63
1206,77.89860881,92470480.06
1207,63.53741277,66285941.03
1208,46.62311522,107799220.1
1211,39.8631987,75365643.14
1212,26.37237818,94868036.11
1213,124.463699,68994895.36
1216,23.45662019,50280097.79
1220,20.27974956,30906746.63
1230,156.6675931,19293911.78
1240,258.4144911,15523104.43
1250,46.62311522,13565157.95
1260,46.62311522,23393712.86
1300,64.66890094,64175807.67
1306,75.63563246,5950468.573
1307,25.93719042,29465046.73
1308,15.31860911,45651156.62
1309,27.32979125,38272111.61
1320,301.3240041,18269279.01
1321,64.66890094,5072717.599
1322,18.10381076,54183336.15
1330,137.2582191,25595225.46
1340,84.25235009,16276889.47
1400,1558.842552,37412665.81
1408,63.493894,7670485.321
1409,104.0969119,30519574.91
1420,71.89301774,29051276.77
1423,13.57785807,93415274.7
1426,92.60795505,82713273.18
1427,22.35626485,154722677.5
1428,156.6675931,83213993.43
1430,34.90205825,4594245.507
1439,1929.9697584859703,99256764.44
1440,62.4059246,3624197.145
1449,62.4059246,57236061.15
1450,298.7999151,50344492.42
1468,298.7999151,36258394.79
1470,298.7999151,28314094.72
1474,79.7263974,6877282.637
1476,63.493894,10792983.7
1477,63.493894,56403429.0
1478,79.7263974,41348946.7
1479,63.493894,43271555.56
1510,60.94804561,27009278.66
1520,90.69312891,55794906.47
2001,2314.328681,853500.5347
2002,4778.749808,753169.67
2003,3231.560295,635987.0807
2004,3619.792248,640449.612
2005,7106.527633,3955794.386
2006,3551.470597,21097275.38
2007,194.8631515,5214552.716
2008,2314.328681,13381788.03
2049,194.8631515,162755423.7
2100,815.9147295,212481589.6
2110,466.4163102,136669756.1
2120,130.7256786,25327040.72
2124,58.18996258,98699287.98
2125,54.78284613,72958041.18
2127,130.7256786,176598099.4
2129,58.18996258,119520159.9
2130,133.7741513,27292054.97
2136,31.65031863,21110873.08
2137,31.65031863,131478043.4
2139,54.78284613,179132411.5
2140,194.8631515,89450451.88
2141,139.2434698,29424496.35
2142,139.2434698,170608070.0
2150,237.6015421,70728280.8
2151,242.0845901,88945798.12
2152,90.19892504,63833461.78
2153,87.8677401,75343748.38
2154,69.93554825,115752951.8
2155,194.8631515,167298762.2
2156,124.5091855,101894116.9
2160,116.738569,247710086.3
2161,116.738569,112937586.7
2162,56.30708243,63360000.88
2200,690.7480304,103181498.4
2210,68.38142495,1447034.04
2211,68.38142495,107966526.3
2212,100.5995963,125061685.4
2213,12.19389046,31248827.57
2214,12.19389046,128218312.3
2215,121.9389046,90846735.67
2220,119.2490759,194118036.2
