id,geo_location,city,postal_code,text_test
276369,"{""latitude"":38.1194036,""longitude"":-1.3067809}",Archena,30600,Positive
275154,"{""latitude"":39.4019332,""longitude"":-9.1398876}",Caldas da Rainha,2500,Positive
272912,"{""latitude"":36.19512201414592,""longitude"":-5.919008592886784}",Barbate,11160,Positive
272825,"{""latitude"":41.3772785,""longitude"":2.0862537}",Esplugues de Llobregat,8950,Positive
272112,"{""latitude"":42.4607582,""longitude"":-2.4600674}",Logroño,26005,StrongPositive
271479,"{""latitude"":37.3129914,""longitude"":-6.1037745}",Almensilla,41111,Positive
271465,"{""latitude"":38.906730794840186,""longitude"":-6.610307830930897}",Montijo,6480,StrongPositive
270560,"{""latitude"":37.4038072,""longitude"":-5.9818448}",Sevilla,41009,Positive
268081,"{""latitude"":42.4607734,""longitude"":-2.4600118}",Logroño,26005,Positive
265676,"{""latitude"":37.4038471,""longitude"":-5.9818444}",Sevilla,41009,Positive
265319,"{""latitude"":37.38563928319384,""longitude"":-2.1478146451653766}",Albox,4800,Positive
264802,"{""latitude"":27.9270213,""longitude"":-15.4247099}",Ingenio,35259,Positive
260527,"{""latitude"":36.382225592478505,""longitude"":-6.16164324526283}",Chiclana de la Frontera,11130,Positive
259834,"{""latitude"":38.8427704,""longitude"":-7.587183}",Estremoz,7100-453,Positive
259321,"{""latitude"":37.29818032817169,""longitude"":-3.1294568263659084}",Guadix,18500,StrongPositive
257891,"{""latitude"":37.03395232028938,""longitude"":-7.960717481750312}",Faro,8005-256,Positive
257172,"{""latitude"":38.10393345489776,""longitude"":-1.8658297149404166}",Caravaca de la Cruz,30400,Positive
256213,"{""latitude"":37.27824831671715,""longitude"":-6.937708682546716}",Huelva,21005,Positive
255411,"{""latitude"":38.9579526,""longitude"":-5.8713131}",Don Benito,6400,Positive
254627,"{""latitude"":40.4488114,""longitude"":-3.739093}",Madrid,28040,Positive
251326,"{""latitude"":36.38217546451571,""longitude"":-6.161612873541086}",Chiclana de la Frontera,11130,Positive
250458,"{""latitude"":40.4275705,""longitude"":-3.6099148}",Madrid,28022,Positive
250454,"{""latitude"":40.4275783,""longitude"":-3.6099122}",Madrid,28022,Positive
249037,"{""latitude"":38.2706619,""longitude"":-0.7125897}",Elx / Elche,3205,Positive
248910,"{""latitude"":39.4018978,""longitude"":-9.1399166}",Caldas da Rainha,2500,Positive
248231,"{""latitude"":38.7068516,""longitude"":-8.9795227}",Montijo,2870-114,Positive
246346,"{""latitude"":38.706843,""longitude"":-8.9795931}",Montijo,2870-114,StrongPositive
245655,"{""latitude"":36.38217546451571,""longitude"":-6.161612873541086}",Chiclana de la Frontera,11130,Positive
245631,"{""latitude"":36.5956348,""longitude"":-6.2434556}",El Puerto de Santa María,11500,StrongPositive
243864,"{""latitude"":36.38217546451571,""longitude"":-6.161612873541086}",Chiclana de la Frontera,11130,Positive
242677,"{""latitude"":38.53526603883744,""longitude"":-8.891206672432007}",Setúbal,2900-700,Positive
240845,"{""latitude"":36.92148404662111,""longitude"":-6.071324848618522}",Lebrija,41740,Positive
239347,"{""latitude"":37.2055593,""longitude"":-7.2188966}",Lepe,21449,Positive
239332,"{""latitude"":38.6318521,""longitude"":-0.8668166}",Villena,3400,StrongPositive
239278,"{""latitude"":37.575346,""longitude"":-6.7625223}",Valverde del Camino,21600,StrongPositive
236190,"{""latitude"":42.2900175,""longitude"":3.2751888}",Cadaqués,17488,Positive
236189,"{""latitude"":37.0634071,""longitude"":-7.7600874}",Moncarapacho e Fuseta,8700,Positive
236147,"{""latitude"":41.377296,""longitude"":2.0862858}",Esplugues de Llobregat,8950,Positive
235735,"{""latitude"":41.3773276,""longitude"":2.0862656}",Esplugues de Llobregat,8950,Positive
234810,"{""latitude"":36.747864288815904,""longitude"":-3.6120542533585045}",Salobreña,18680,Positive
234056,"{""latitude"":38.18371697267436,""longitude"":-3.3187163275529024}",Navas de San Juan,23240,StrongPositive
232489,"{""latitude"":41.3911367,""longitude"":2.1840601}",Barcelona,8018,StrongPositive
230030,"{""latitude"":40.4107724,""longitude"":-3.710445}",Madrid,28005,Positive
229941,"{""latitude"":37.1367572,""longitude"":-8.4591671}",Lagoa,8400-435,Positive
229229,"{""latitude"":36.38217984951402,""longitude"":-6.161605994668663}",Chiclana de la Frontera,11130,StrongPositive
228441,"{""latitude"":37.1869291,""longitude"":-5.7881244}",Utrera,41710,Positive
227963,"{""latitude"":36.4284013,""longitude"":-6.1431131}",Chiclana de la Frontera,11130,Positive
227672,"{""latitude"":38.9579205,""longitude"":-5.871332}",Don Benito,6400,StrongPositive
227264,"{""latitude"":37.2055449,""longitude"":-7.2188583}",Lepe,21449,StrongPositive
227009,"{""latitude"":36.1287032,""longitude"":-5.4510368}",Algeciras,11203,Positive
226920,"{""latitude"":37.2055486,""longitude"":-7.2188716}",Lepe,21449,Positive
225213,"{""latitude"":40.1659287,""longitude"":-8.8516596}",Figueira da Foz,3080-510,StrongPositive
225154,"{""latitude"":36.38222033184784,""longitude"":-6.16163664805895}",Chiclana de la Frontera,11130,Positive
224496,"{""latitude"":38.962595852102396,""longitude"":-8.998544843098717}",Vila Franca de Xira,2600,Positive
223732,"{""latitude"":41.62871,""longitude"":2.2951762}",les Franqueses del Vallès,8520,Positive
223724,"{""latitude"":41.6287108,""longitude"":2.2951353}",les Franqueses del Vallès,8520,Positive
223599,"{""latitude"":36.7144519,""longitude"":-4.4281091}",Málaga,29002,Positive
221408,"{""latitude"":37.3032924,""longitude"":-3.1364048}",Guadix,18500,Positive
218205,"{""latitude"":40.48495353920523,""longitude"":-3.7219200077581407}",Madrid,28035,Positive
217778,"{""latitude"":40.6191622,""longitude"":0.5889227}",la Ràpita,43540,Positive
217734,"{""latitude"":37.33480276910209,""longitude"":-6.541624925362761}",Bollullos Par del Condado,21710,Positive
217525,"{""latitude"":27.9080478,""longitude"":-15.4072709}",Ingenio,35240,Positive
216819,"{""latitude"":37.303283,""longitude"":-3.1364041}",Guadix,18500,StrongPositive
216151,"{""latitude"":40.5589845,""longitude"":-8.7518489}",Vagos,3840-264,Positive
216100,"{""latitude"":37.29820413675118,""longitude"":-3.1293753805199698}",Guadix,18500,StrongPositive
215954,"{""latitude"":39.881457,""longitude"":-3.9709192}",Toledo,45008,Positive
215239,"{""latitude"":39.9661103,""longitude"":-4.8267351}",Talavera de la Reina,45600,Positive
215168,"{""latitude"":41.3066517,""longitude"":-0.7528905}",Belchite,50130,Positive
214412,"{""latitude"":28.3847822,""longitude"":-16.5843453}",Los Realejos,38419,StrongPositive
214096,"{""latitude"":40.5589829,""longitude"":-8.751857}",Vagos,3840-264,Positive
214063,"{""latitude"":38.906783039080096,""longitude"":-6.6102879643447645}",Montijo,6480,Positive
213760,"{""latitude"":40.5435283,""longitude"":-8.5320533}",Oliveira do Bairro,3770-059,Positive
213454,"{""latitude"":40.1952779,""longitude"":-8.430995}",Coimbra,3040-092,Positive
212449,"{""latitude"":37.29825054676602,""longitude"":-3.129355248635634}",Guadix,18500,StrongPositive
209543,"{""latitude"":32.6622439,""longitude"":-16.9347269}",Funchal,9020-353,Positive
209509,"{""latitude"":41.7033429,""longitude"":-8.8237276}",Viana do Castelo,4900,Positive
