city,text_test,test_value,latitude,longitude
Huelva,Positive,50,37.2055486,-7.2188716
Cadiz,Positive,50,36.38222033184784,-6.16163664805895
Barcelona,Positive,50,41.62871,2.2951762
Barcelona,Positive,50,41.6287108,2.2951353
Malaga,Positive,50,36.7144519,-4.4281091
Granada,Positive,50,37.3032924,-3.1364048
Madrid,Positive,50,40.48495353920523,-3.7219200077581407
Tarragona,Positive,50,40.6191622,0.5889227
Huelva,Positive,50,37.33480276910209,-6.541624925362761
Las Palmas,Positive,50,27.9080478,-15.4072709
Granada,StrongPositive,100,37.303283,-3.1364041
Granada,StrongPositive,100,37.29820413675118,-3.1293753805199698
Toledo,Positive,50,39.881457,-3.9709192
Toledo,Positive,50,39.9661103,-4.8267351
Zaragoza,Positive,50,41.3066517,-0.7528905
Santa Cruz de Tenerife,StrongPositive,100,28.3847822,-16.5843453
Badajoz,Positive,50,38.906783039080096,-6.6102879643447645
Granada,StrongPositive,100,37.29825054676602,-3.129355248635634
Huelva,Positive,50,37.44654911362833,-7.104327735820646
Huelva,Positive,50,37.44654911362833,-7.104327735820646
Murcia,Positive,50,37.6688701,-1.7022333
Sevilla,Positive,50,37.46667097329818,-5.6488504257190115
Asturias,Positive,50,43.5375564,-5.6625623
Córdoba,Positive,50,37.6669316,-4.7245474
Sevilla,StrongPositive,100,37.3801644,-6.0030772
Barcelona,Positive,50,41.62750450504562,2.29498851980689
Granada,Positive,50,37.1985196,-3.6151471
Madrid,StrongPositive,100,40.6212966,-4.0096544
Navarra,Positive,50,42.8214692,-1.5827782
Badajoz,Positive,50,38.8694991,-6.9863221
Badajoz,StrongPositive,100,38.90669919913306,-6.610367672478904
Zaragoza,Positive,50,41.6621491,-0.8745378
Sevilla,StrongPositive,100,37.3930135,-5.9977175
Cadiz,Positive,50,36.4407257,-6.1426389
Madrid,StrongPositive,100,40.7921867,-3.6013794
Cantabria,Positive,50,43.3694424,-3.2183884
Sevilla,StrongPositive,100,37.3993867,-5.9840288
Valencia,Positive,50,39.420466576016416,-0.4870768199632289
Barcelona,StrongPositive,100,41.62751049263654,2.2950190495892757
Castell,Positive,50,40.052338,0.0596987
Córdoba,Positive,50,37.6669338,-4.7245301
Zaragoza,Positive,50,41.6459333,-0.9087826
Santa Cruz de Tenerife,Positive,50,28.055425068581144,-16.62066202163341
Santa Cruz de Tenerife,Positive,50,28.4519072,-16.3665676
Madrid,StrongPositive,100,40.5400853,-3.6357444
Huelva,Positive,50,37.4173915,-6.4039535
Toledo,Positive,50,39.88135844007123,-3.9710530266202717
Barcelona,Positive,50,41.6276025,2.294898
La Corua,Positive,50,43.318762,-8.2967465
Barcelona,Positive,50,41.627468912609594,2.2949933401008966
Huelva,Positive,50,37.4173839,-6.4038973
Castell,Positive,50,39.8945716,-0.1096331
Huelva,Positive,50,37.446470808495526,-7.104394846094709
Tarragona,Positive,50,41.195078,1.6179919
Sevilla,StrongPositive,100,37.4309115,-5.9259995
Murcia,Positive,50,38.24077355423176,-1.425268194382935
Badajoz,Positive,50,38.24093713631489,-6.018808155273724
Madrid,StrongPositive,100,40.47001647949217,-3.616867065429686
Córdoba,Positive,50,38.016464,-4.3792459
Ciudad Real,Positive,50,38.7369145,-3.0186353
Huelva,Positive,50,37.278285526652276,-6.937807883492202
Cadiz,Positive,50,36.1385245,-5.4563194
Sevilla,Positive,50,36.9280561,-6.0857668
Castell,Positive,50,39.9932219,-0.0347493
Cadiz,Positive,50,36.38212665224008,-6.161620454025207
Barcelona,Positive,50,41.62753651528576,2.2950871275845555
Madrid,StrongPositive,100,40.4489688,-3.4710861
Malaga,StrongPositive,100,36.7001242,-4.4449606
Castell,Positive,50,39.9931961,-0.0347388
Madrid,Positive,50,40.55147010181293,-3.895504597797525
Barcelona,Positive,50,41.6274545,2.2949996
Castell,Positive,50,39.89454639325639,-0.10975309146846869
Granada,Positive,50,36.764389243942595,-3.72000941075731
Valencia,Positive,50,38.988940270735,-0.5296046581859704
Sevilla,StrongPositive,100,37.3940348,-5.9208736
Madrid,StrongPositive,100,40.7440876,-3.5105937
Valencia,Positive,50,39.40540291768816,-0.4060462434143529
Madrid,StrongPositive,100,40.4880041,-3.8750225
Barcelona,Positive,50,41.283454478009894,1.722063024781457
Zaragoza,Positive,50,41.6621204,-0.8745346
Madrid,StrongPositive,100,40.39792,-3.6978722
Granada,StrongPositive,100,37.2980084,-3.1298955
Barcelona,Positive,50,41.62775952,2.29530357
Sevilla,StrongPositive,100,37.4666591,-5.6487153
Asturias,StrongPositive,100,43.3682405,-5.8223254
Valencia,Positive,50,39.45010960422907,-0.39257317934694447
Madrid,Positive,50,40.9971031,-3.6375203
Barcelona,Positive,50,41.62755688239282,2.2950881027645593
Sevilla,StrongPositive,100,37.4207093,-6.1204606
Badajoz,StrongPositive,100,38.90678852523873,-6.61029279497459
Zaragoza,Positive,50,41.6138467,-0.704147
Badajoz,Positive,50,38.90677788815899,-6.610293177742869
Sevilla,StrongPositive,100,37.3285264,-5.8536166
Granada,Positive,50,37.1984233,-3.6151583
Huelva,Positive,50,37.4173872,-6.4039054
Malaga,Positive,50,36.5171763,-4.8892275
Zaragoza,Positive,50,41.6120612,-0.7019034
Madrid,StrongPositive,100,40.4338482,-3.7087674
Barcelona,Positive,50,41.627521022983736,2.295059736030423
Madrid,StrongPositive,100,40.6752089,-3.6223475
Barcelona,Positive,50,41.62753106272096,2.295092564424557
Huelva,Positive,50,37.4173822,-6.4038966
Cadiz,Positive,50,36.5951227,-6.2412116
Malaga,Positive,50,36.638728,-4.4892794
Alicante,StrongPositive,100,38.6376029,-0.8704419
Sevilla,StrongPositive,100,37.38310716728409,-5.949835650465193
Zamora,Positive,50,41.5221284,-5.3889996
Granada,StrongPositive,100,37.1979814,-3.6199645
Barcelona,StrongPositive,100,41.345974,1.7023585
Badajoz,Positive,50,38.906778960861935,-6.610283754705841
Huelva,Positive,50,37.44644209435329,-7.104483390767956
Huelva,Positive,50,37.4173842,-6.4038998
Alicante,StrongPositive,100,38.6376237,-0.8704292
Granada,Positive,50,37.2980185,-3.1298898
Valencia,Positive,50,39.5382956,-0.3488399
Huelva,StrongPositive,100,37.2116799,-7.4044644
Granada,Positive,50,36.74863816729321,-3.518788087684977
Barcelona,Positive,50,41.6276082,2.2948739
Madrid,StrongPositive,100,40.4588704,-3.7044563
Barcelona,Positive,50,41.62750131100718,2.295013627505397
Badajoz,Positive,50,38.9579071,-5.8713317
Madrid,Positive,50,40.7356408,-3.9469874
Huelva,Positive,50,37.41741056,-6.40389569
Barcelona,Positive,50,41.62751995236607,2.29497007519265
Valencia,Positive,50,39.40536388311367,-0.40603406555978105
Córdoba,Positive,50,37.5200113,-4.6567747
Madrid,StrongPositive,100,40.4547694,-3.4561233
A Coruña,StrongPositive,100,43.2082473,-8.6887532
Huelva,StrongPositive,100,37.8982201,-6.5687137
Granada,Positive,50,37.1985016,-3.6151315
Cadiz,StrongPositive,100,36.6991627,-6.1237947
Alicante,Positive,50,38.1906494,-0.5499239
Madrid,StrongPositive,100,40.325340157730636,-3.7653094667915803
Córdoba,Positive,50,37.8936235,-4.7970295
Santa Cruz de Tenerife,Positive,50,28.4519139,-16.3665719
Cadiz,StrongPositive,100,36.5983358,-6.2363865
Madrid,Positive,50,40.3992985,-3.7740633
Malaga,StrongPositive,100,36.8822451,-4.8441217
Cadiz,StrongPositive,100,36.7062639,-6.1241438
Madrid,StrongPositive,100,40.2739652,-3.9084355
Huesca,StrongPositive,100,42.126826218158634,-0.4048169259646619
Madrid,Positive,50,40.4545446,-3.8755163
Valencia,Positive,50,38.98895318803743,-0.5295211045845937
Malaga,Positive,50,36.69401,-4.4430594
Sevilla,Positive,50,36.921437641795805,-6.071250139550739
Castell,Positive,50,39.89449900058376,-0.10978432247887299
Vizcaya,Positive,50,43.3528984,-2.8397778
Santa Cruz de Tenerife,Positive,50,28.4558438,-16.4515075
Madrid,Positive,50,40.5674267,-3.5027027
Badajoz,Positive,50,38.927552852366595,-6.34792071880601
Illes Balears,Positive,50,38.9063276,1.4236385
Murcia,Positive,50,38.105813,-1.8589705
Barcelona,Positive,50,41.627530466986784,2.2950179104651474
Santa Cruz de Tenerife,Positive,50,28.0553691443772,-16.620474839119698
Almeria,Positive,50,36.80184538,-2.69518026
La Corua,StrongPositive,100,43.3470265,-8.2479197
Huelva,Positive,50,37.4173818,-6.4039036
Córdoba,StrongPositive,100,37.8882212,-4.7626886
Cadiz,Positive,50,36.4284094,-6.1431014
Madrid,StrongPositive,100,40.4624087,-3.4765866
Tarragona,Positive,50,40.6191316,0.5889256
Valencia,Positive,50,38.9889666,-0.5295363
Barcelona,Positive,50,41.6274424,2.2951023
Cadiz,Positive,50,36.44088695431916,-6.142650919038256
Barcelona,Positive,50,41.627532706419416,2.295046619343988
Madrid,Positive,50,40.3838141,-3.6625662
Sevilla,StrongPositive,100,37.4309246,-5.9260166
Valencia,Positive,50,39.5658872,-0.5280925
Barcelona,Positive,50,41.62775952,2.29530357
Cadiz,StrongPositive,100,36.6001542,-6.2474224
Murcia,Positive,50,37.9892558,-1.1270595
Cadiz,Positive,50,36.44084164626469,-6.1425928302465085
Huelva,Positive,50,37.33478907453809,-6.541589592364902
Santa Cruz de Tenerife,Positive,50,28.4519097,-16.366586
Sevilla,StrongPositive,100,36.9214412802509,-6.071299813906576
Castell,Positive,50,39.9932059,-0.0347658
Granada,StrongPositive,100,37.2980492,-3.1297812
Madrid,StrongPositive,100,40.5445129,-3.6429069
Huelva,StrongPositive,100,37.2782799,-6.9378412
